Dagnr,DIENSTREGELPUNT_VAN,DIENSTREGELPUNT_NAAR,KLANTHINDERINMINUTEN,KLANTHINDERNAAM,BEWEGINGNUMMER,MONITORINGSTEGELOMSCHRIJVING,TOELICHTING,AANTAL_OPGEHEVEN_NS_TREINEN
29,Zp,Zpge,139,3. Hinder,-2,STS passage / Bijna Aanrijding,Suicidaal persoon empl Zp,2
15,Gw,Pmk,384,3. Hinder,-2,Invloed van derden op infra,"LW-AKM: aanvaring brug Kw-Prinses Margrietkanaal / Spoorweb-id: 992275Verklaring brwt (Zl): Brug dicht gedaan. Naar het toilet gegaan.Toen ik terugkwam bleek er een boot met zijn mast tegen de brug te zijn aangevaren. Bij mijn wten heb ik de seinen goed bediend.Misschien dat de boot er nog snel door heen wilde? Voor zover ik weet heb ik alles volgens de regels gedaan. 14.25 Trdl Noord kgg, 14.25 MKS kgg. ",13
4,Nwk,Nwki,2256,2. Veel hinder,2820,Aanrijding,MDO-NWKI: aanr mot/brom tr 2820 / Spoorweb-id: 987482,74
18,Nwki,Nwk,98,3. Hinder,4023,Defect materieel,deurproblemen,2
21,Amf,Bnz,60,3. Hinder,31433,Werkproces Treindienstleider,eerder niet gekoppeld,0
1,Ost,Wh,60,3. Hinder,-2,STS passage / Bijna Aanrijding,Suicidaal persoon zl-ost. Op last van de politie tvk tijdelijk gestaakt,2
21,Asd,Zvg,60,3. Hinder,421,Herplanning (materieel niet of laat beschikbaar),"Treinen op verzoek vervoerder opgeheven, bij vervoerder kan niet op weer geboekt worden.",2
20,Bnz,Amf,120,3. Hinder,31410,Meetfout / Onduidelijk systeemgedrag,VOSorderverwerking,0
25,Swk,Smvrt,77,3. Hinder,-2,Spoor of wissels,HGV-KG: sectie sto / Spoorweb-id: 996476,0
24,Bott,Bot,71,3. Hinder,48766,Ongeplande buitendienststelling,Sectie storingen Botlek,0
1,At,Bet,41,3. Hinder,49719,Invloed van derden op infra,"persoon slapen, 20 meter vanaf het perron tegen de tunnelwand",0
17,Odzg,Hgl,90,3. Hinder,20386,Afwezigheid personeel,personeelsproblemen,0
15,Asdmw,Dgrw,120,3. Hinder,2684,Spoor of wissels,sectiestoring,0
23,Hgl,Amri,79,3. Hinder,7954,Spoor of wissels,"Achtergebleven TOBS tussen Hengelo en Almelo, HH-spoor",0
4,Hfdo,Hfdm,180,3. Hinder,-2,Beveiligingsinstallaties,kabel breuk,20
20,ONB,Ddv,190,3. Hinder,-2,STS passage / Bijna Aanrijding,MKS meldt mogelijk suicidaal persoon,2
20,Bl,Asn,286,3. Hinder,8175,Aanrijding,BL-ASN: aanr obj tr 8175 / Spoorweb-id: 994560aanrijding ree,6
20,Gs,Lwd,60,3. Hinder,6120,Spoor of wissels,Klapper in spoor VF.v.a. 13:06 EI5 100 km/h,2
26,Akm,Brdl,210,3. Hinder,-2,Beveiligingsinstallaties,AKM-HR: sein sto tr 646 / Spoorweb-id: 996854,7
19,Alm,Almm,273,3. Hinder,2630,STS passage / Bijna Aanrijding,suicidale vrouw,6
27,Avat,Amfs,120,3. Hinder,5860,Defect materieel,AVAT: def mat tr 5857 / Spoorweb-id: 997608,4
29,Bl,Asn,52,3. Hinder,567,STS passage / Bijna Aanrijding,MKS meldt europian instruction emplacement asn.mcn 567 meldt persoon staat voor zijn trein sein,0
5,Ht,Ehv,120,3. Hinder,300857,Herplanning (materieel niet of laat beschikbaar),Geen mat,4
3,Rtd,Wiltn,42,3. Hinder,-2,STS passage / Bijna Aanrijding,persoon in het spoor vanaf rtd de tunnel in,0
20,Ddr,Gdm,60,3. Hinder,7279,Afwezigheid personeel,Zieke Mcn.,0
27,Sdt,Sdtb,95,3. Hinder,7160,Defect materieel,SDT-DDRS: def mat tr 7160 / Spoorweb-id: 997659,0
6,Rtd,Dhsa,118,3. Hinder,5020,Defect materieel,5020 defect,3
14,Llzm,Ztmo,727,2. Veel hinder,-2,Aanrijding,ZTMO: aanr pers tr 11724 / Spoorweb-id: 991725,23
24,Rsdg,Rsd,60,3. Hinder,2555,Defect materieel,Defect in belgi‰ ,2
15,Vd,Zpgea,247,3. Hinder,-2,Spoor of wissels,aangepast,0
13,Mas,Bkla,79,3. Hinder,2982,Aanrijding,BKLA: aanr obj tr 2982 / Spoorweb-id: 991645,1
2,Hfdm,Hshfdo,71,3. Hinder,-2,Spoor of wissels,HFD: infra ovrg tr 950 / Spoorweb-id: 986828,1
10,Rsd,Kraga,145,3. Hinder,2246,Spoor of wissels,Takken over het spoor,3
18,Amfs,Avat,2247,2. Veel hinder,-2,Spoor of wissels,"Gescheurd puntstuk wissel 1021 Avat, mag RL en LL niet bereden worden. ",76
22,Cl,Lek,93,3. Hinder,6072,(problemen met) Reizigers,lastige reiziger. 6772 links eromheen en dat duurde zo lang dat hij alles ophield.,0
23,Wv,Zl,90,3. Hinder,658,Aanpassing DRGL op verzoek van de vervoerder,ivm schouwen bovenleiding tr 653,4
27,Zzs,Wm,51,3. Hinder,3046,Spoor of wissels,WM-UTG: defect sp / Spoorweb-id: 997523,0
23,Kfhz,Vlgr,300,3. Hinder,47761,Vertraging veroorzaakt door andere IM / Terminal,Geen goederenverkeer Emmerich. / Spoorweb-id: 995436,1
5,Gv,Gvmw,42,3. Hinder,-2,STS passage / Bijna Aanrijding,persoon in t spoor,0
11,Tb,Ehv,60,3. Hinder,9256,Defect materieel,"Treinnummer, proces en oorzaaktype aangepast en nogmaals aangeboden, trein 9256 defect op HSL-Z.",2
13,Vl,Vlgr,547,3. Hinder,155,Vertraging veroorzaakt door andere IM / Terminal,drukte venlo,0
14,Ddzd,Ddr,42,3. Hinder,-1,Defect materieel,,0
1,Rhn,Vndc,240,3. Hinder,7370,Defect materieel,,8
21,Bot,Kfhn,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
8,Hlm,Asd,60,3. Hinder,5440,Defect materieel,,2
11,Ddr,Ddr,99,3. Hinder,-1,"Overschrijden vertrektijd, rijweg ingesteld",,3
20,Mt,Mtr,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
4,Asdz,Shl,60,3. Hinder,3524,Herplanning (materieel niet of laat beschikbaar),,4
14,Tnzz,Svg,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
1,Hang,Mt,240,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
13,Hlm,Zvt,2610,1. Zeer veel hinder,15439,Aanpassing DRGL op verzoek van de vervoerder,,87
22,Hlm,Asd,60,3. Hinder,4860,Defect materieel,,2
27,Ah,Ahg,60,3. Hinder,-1,Herplanning (materieel niet of laat beschikbaar),,0
11,Bnz,Amf,60,3. Hinder,331302,Aanpassing DRGL op verzoek van de vervoerder,,0
17,Ddm,Mdsa,212,3. Hinder,-1,Herplanning (materieel niet of laat beschikbaar),,0
18,Vlgr,Vl,60,3. Hinder,20074,Aanpassing DRGL op verzoek van de vervoerder,,0
19,Amr,Nm,210,3. Hinder,3037,Aanpassing DRGL op verzoek van de vervoerder,,7
18,Vk,Mt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
10,Amf,Amf,97,3. Hinder,89951,Afwezigheid personeel,,0
24,Hgl,Odzg,60,3. Hinder,20389,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Sto,Apd,84,3. Hinder,-1,Defect materieel,,0
26,Ah,Nm,90,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,3
14,Rdwa,Ass,60,3. Hinder,80357,"Overschrijden vertrektijd, rijweg ingesteld",,0
4,Asd,Asd,62,3. Hinder,1028,Defect materieel,,0
11,Amfs,Amf,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
9,Wp,Hfd,60,3. Hinder,4330,Herplanning (materieel niet of laat beschikbaar),,2
23,Ddr,Gr,60,3. Hinder,7189,Afwezigheid personeel,,0
25,Brppd,Brgnd,51,3. Hinder,-1,Defect materieel,,0
14,Tbu,Btl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
26,Rsd,Vs,60,3. Hinder,2266,Aanpassing DRGL op verzoek van de vervoerder,,2
24,Mt,Rm,60,3. Hinder,-1,Defect materieel,,0
7,Ah,Ahg,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
28,Ht,Ehv,60,3. Hinder,4415,Defect materieel,,2
25,Nm,Vry,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Avat,Amf,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
9,Zvt,Hlm,2610,1. Zeer veel hinder,15432,Aanpassing DRGL op verzoek van de vervoerder,,88
18,Amf,Amfs,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
30,Hang,Hrl,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
18,Brdv,Rlb,195,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
15,Hang,Hrl,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
25,Vl,Vlgr,60,3. Hinder,20067,Import vertraging buitenland,,0
22,Erp,Kfhn,315,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
5,Vlgr,Vl,60,3. Hinder,20086,Import vertraging buitenland,,0
21,Lw,Gn,150,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
18,Brd,Ddr,60,3. Hinder,5165,Defect materieel,,2
2,Mt,Vk,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
18,Btl,Ehv,60,3. Hinder,4457,Aanpassing DRGL op verzoek van de vervoerder,,2
11,Btl,Ot,174,3. Hinder,-1,Defect materieel,,4
2,Vl,Vlgr,60,3. Hinder,20099,Import vertraging buitenland,,0
24,Vl,Vlgr,60,3. Hinder,20085,Import vertraging buitenland,,0
4,Btl,Brdv,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
15,Amfs,Amf,60,3. Hinder,11682,Aanpassing DRGL op verzoek van de vervoerder,,2
16,Akm,Lw,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
21,Bot,Kfhn,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
12,Ddr,Grbr,45,3. Hinder,5040,Conflicten/aanpassingen Dienstregeling,,0
26,Nvbro,Zha,227,3. Hinder,-1,Defect materieel,,2
30,Mtr,Std,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
29,Rm,Std,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Vlgr,Vl,90,3. Hinder,-1,Defect materieel,,0
27,Tbu,Tbu,90,3. Hinder,6433,Defect materieel,,3
1,Ut,Ed,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,3
26,Odzg,Hgl,570,3. Hinder,20376,Aanpassing DRGL op verzoek van de vervoerder,,0
22,Bot,Rscwa,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
20,Asd,Almo,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
25,Wc,Nm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
24,Rtd,Hsbdg,165,3. Hinder,9224,Defect materieel,,6
30,Rsd,Rsdg,174,3. Hinder,-1,Defect materieel,,4
18,Rsd,Asd,90,3. Hinder,2355,Aanpassing DRGL op verzoek van de vervoerder,,3
13,Tbu,Tbge,754,2. Veel hinder,-1,Defect materieel,,24
26,Mt,Vk,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
5,Rsdg,Rsd,56,3. Hinder,-1,Defect materieel,,0
29,Lls,Hfd,60,3. Hinder,4358,Defect materieel,,4
13,Mp,Zl,60,3. Hinder,9090,Herplanning (materieel niet of laat beschikbaar),,2
26,Bkg,Ekz,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
16,Hgl,Odzg,60,3. Hinder,20387,Aanpassing DRGL op verzoek van de vervoerder,,0
27,Hgl,Hgl,40,3. Hinder,301665,Herplanning personeel,,0
5,Rtd,Ut,60,3. Hinder,2879,Aanpassing DRGL op verzoek van de vervoerder,,2
22,Bkg,Ekz,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
6,Ddzd,Ddr,278,3. Hinder,-1,Defect materieel,,4
25,Vk,Mt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
24,Mvtwn,Mvtaho,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
30,Gvc,Ledn,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
21,Hrl,Lg,60,3. Hinder,-1,Defect materieel,,0
18,Vk,Mt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
19,Dn,Ehv,60,3. Hinder,4476,Aanpassing DRGL op verzoek van de vervoerder,,2
6,Hdg,Lw,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
29,Vdm,Gn,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
13,Utvr,Gdm,75,3. Hinder,6779,(problemen met) Reizigers,,4
21,Zv,Ah,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
13,Btl,Brdv,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Asdta,Sgra,494,3. Hinder,9231,Spoor of wissels,,21
25,Zvt,Hlm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
28,Bkh,Gvc,90,3. Hinder,83124,Aanpassing DRGL op verzoek van de vervoerder,,8
26,Ahwa,Est,167,3. Hinder,6663,Defect materieel,deurproblemen Elst,4
22,Amfga,Brn,106,3. Hinder,1524,Spoor of wissels,sect sto wsl 1143 storingsdienst rond 11 uur aanwezig. vooralsnog geen treinvrije periode nog.,2
22,Dn,Hmbh,126,3. Hinder,4422,Defect materieel,trein 4422 defect in deurne. sluit geen enkele deur. ,7
14,Zl,Zl,40,3. Hinder,8155,STS passage / Bijna Aanrijding,"suicidale meldingen en politie, op meerdere momenten verschillende km en richtingen.",0
26,Tba,Tb,95,3. Hinder,6428,STS passage / Bijna Aanrijding,"mcn meldt iets geraakt te hebben, is op onderzoek uit.Mcn heeft niets aangetroffen, kan rijweg vervolgen",2
23,Rtd,Wspl,170,3. Hinder,-2,Spoor of wissels,bezet spoor melding in wissel 267b,3
19,Bnz,Amf,120,3. Hinder,31458,Meetfout / Onduidelijk systeemgedrag,VOSorderverwerking,0
1,Asn,Onz,68,3. Hinder,765,(problemen met) Reizigers,"ASN: reizigers gedrag tr 765 / Spoorweb-id: 986544Lastige reiziger in de trein, bedreigde de hc. Hierop kwam politie bij de trein. Als gevolg hiervan keert de trein op de 778 op Assen.",2
2,Rai,Dvaw,103,3. Hinder,4367,STS passage / Bijna Aanrijding,RAI-DVAW: hinder pers op sp tr 3169 / Spoorweb-id: 986861,0
11,Zl,Zl,131,3. Hinder,8057,STS passage / Bijna Aanrijding,ZL-DDV: hinder pers op sp / Spoorweb-id: 990570,0
12,Gn,Gerp,77,3. Hinder,-2,STS passage / Bijna Aanrijding,"suicidaal persoon, melding via meldkamer",0
1,Hstdk,Hstom,74,3. Hinder,1134,Defect materieel,Zie toelichting RB CMT,1
14,Bd,Bda,753,2. Veel hinder,915,Defect materieel,BD: brand/rook in mat tr 915 / Spoorweb-id: 991721,25
24,Almb,Almp,141,3. Hinder,4628,Defect materieel,ALM-ALMO: def mat tr 4628 / Spoorweb-id: 995704,3
12,Wp,Vtbr,233,3. Hinder,-2,Spoor of wissels,knipperende tobs,3
7,Bsmz,Ndb,50,3. Hinder,5846,Werkproces Treindienstleider,staan open van vroege dienst,1
19,Shl,Asra,247,3. Hinder,1041,Defect materieel,ASRA: def mat tr 1041 / Spoorweb-id: 993930,13
6,Hdg,Lwc,130,3. Hinder,-2,Aanwijzing SB ivm defect spoor,mcn 37327 meldt spoorverzakking en voelt een kuil thv 36.0 spoor 2HDG: defect sp Sp-202 / Spoorweb-id: 988481na metingen viel alles binnen de norm,0
17,Nmd,Wc,180,3. Hinder,-2,STS passage / Bijna Aanrijding,NM-WC: ass hulpdst / Spoorweb-id: 992851,5
1,Hfdm,Hshfdo,1899,2. Veel hinder,-2,Spoor of wissels,HFD: sein sto / Spoorweb-id: 986310,60
19,Bnz,Amf,60,3. Hinder,31462,Meetfout / Onduidelijk systeemgedrag,VOSorderverwerking,0
9,Bloa,Uto,120,3. Hinder,-2,Spoor of wissels,BKP: ovw sto Ovw-4.5 / Spoorweb-id: 989695,4
6,Laa,Gvc,137,3. Hinder,1868,Herplanning (materieel niet of laat beschikbaar),"Trein 766 te lang voor spoor 8, splitsen en terugkeren richting de tuin ging moeizaam. Hierdoor versperring sporen 8,9 en 10 te GVC",3
12,Bll,Sptz,60,3. Hinder,4821,Defect materieel,Tredeplank defect.,2
15,Hlm,Asd,68,3. Hinder,5466,(problemen met) Reizigers,HLM: reizigers gedrag tr 5466 / Spoorweb-id: 992408,2
19,Ashd,Asb,262,3. Hinder,3784,Spoor of wissels,wissel uit de controle ,11
26,Otb,Wf,125,3. Hinder,3158,Defect materieel,ED: def mat tr 3256 / Spoorweb-id: 997018,2
11,At,Ehs,118,3. Hinder,851,STS passage / Bijna Aanrijding,"AT: hinder pers op sp / Spoorweb-id: 990511mcn 851 meldt in elkaar gedoken meisje bij de autobrug. 15:43 toestemming MKS staken EI 6, persoon meegenomen door OHD",2
14,Kv,Ndb,76,3. Hinder,14979,STS passage / Bijna Aanrijding,"ree langs het spoor, EI 6",0
15,Shl,Hfd,289,3. Hinder,-2,Invloed van derden op infra,SHL: brand/rook tunnel Tnl-Schiphol Spoortunnel / Spoorweb-id: 992431,0
5,Wv,Swk,93,3. Hinder,9064,Defect materieel,SWK: aanr vogel tr 9064 / Spoorweb-id: 988231,2
10,Wf,Ed,98,3. Hinder,3124,(problemen met) Reizigers,onwelwording,2
4,Btl,Ot,1939,2. Veel hinder,-2,Spoor of wissels,Vermoedelijk sectiestoring BTL$535A-FTDaarmee ook meerdere overwegen in de storing. 1e keer is hij er uit gereden.Daarna opnieuw een sectiestoring BTL$535A-FT2e keer storing daarme overweg 37.4 in de storing,44
10,Gv,Gvc,150,3. Hinder,1150,Herplanning (materieel niet of laat beschikbaar),Genoemde treinen zijn bijgestuurd ivm met vertraging een een gewijzigde drgl. Volgens de geldende VSM wordt de 110 serie alleen op Bd aangepast.,12
10,Gvc,Gvc,47,3. Hinder,5117,Onregelmatigheden in de uitvoering van BTD,uitloop werkzaamheden,0
20,Ahwa,Otb,40,3. Hinder,7522,Defect materieel,problemen te Oosterbeek met trein ,0
5,Ht,Htda,12428,1. Zeer veel hinder,303944,Meetfout / Onduidelijk systeemgedrag,Post Ut/Amf niet te bereiken / Spoorweb-id: 988071,453
6,Kfhan,Brdv,75,3. Hinder,-2,Spoor of wissels,BRDV-KFH: defect sp Sp-DE / Spoorweb-id: 988500OAW op basis IHS losse bevestigingsmiddelen rond km 40.4,0
26,Ddr,Ddr,55,3. Hinder,5979,Afwezigheid personeel,"Mcn kwam van vertraagde 6600 af (+32min), maar moest nog  even  naar het toilet waardoor vertraging opliep van ca. +10 naar +27",0
5,Rtd,Rtst,75,3. Hinder,70922,Herplanning (materieel niet of laat beschikbaar),Proces en oorzaaktype op verzoek vervoerder aangepast.,3
26,Dtcp,Dt,540,3. Hinder,1154,Defect materieel,kapotte deur,21
8,Ht,Shl,292,3. Hinder,3768,STS passage / Bijna Aanrijding,VGA-BTL: hinder pers op sp Ovw-53.1 / Spoorweb-id: 989469,8
7,Ut,Nm,120,3. Hinder,3025,Spoor of wissels,MRG-HAR: defect sp Sp-AU / Spoorweb-id: 988892,4
26,Vga,Tbi,145,3. Hinder,3669,Aanrijding,mcn heeft een ovw boom geraakt. ,2
30,Rlb,Rtd,60,3. Hinder,2293,Werkproces rijdend personeel,HC wil niet rijden naar Rlb vanwege onveilig gevoel uit het verleden,2
13,Hfdm,Hfdo,111,3. Hinder,73126,Herplanning (materieel niet of laat beschikbaar),HFDO: hinder log probleem tr 73126 / Spoorweb-id: 991259,7
17,Rsl,Nsch,220,3. Hinder,-2,Beveiligingsinstallaties,rijrichtingstoring Ws-Nsch,0
13,Ddr,Ddzd,80,3. Hinder,76656,Defect materieel,Stel defect op Dordrecht Zuid.,2
14,Ot,Btl,42,3. Hinder,47775,Vertraging veroorzaakt door andere IM / Terminal,door drukte duitsland geen plek in venlo,0
12,Ht,Hdl,392,3. Hinder,6058,STS passage / Bijna Aanrijding,Schapen langs de baan,13
6,Wt,Amr,3157,1. Zeer veel hinder,3950,Aanrijding,EHV: aanr pers tr 3950 / Spoorweb-id: 988561,86
26,Dn,Hmbh,100,3. Hinder,4426,Defect materieel,DN-HM: def mat tr 4426 / Spoorweb-id: 996760Machinist deed shutdown,2
4,Shl,Hfd,62,3. Hinder,1046,Defect materieel,SHL: def mat tr 1046 / Spoorweb-id: 987673,1
3,Hln,Wt,47,3. Hinder,3928,Aanrijding,"mcn 3928 heeft reebok aangereden tussen Haelen en Weert. stond bij km 72.3 stil. Reebok ligt bij km 72.6 in FE spoor. RvO: 71087041mcn wist niet wat toestand nevenspoor was dus trein 3921 stilgezet bij km 68.0 op nevenspoor.ovw 72.4 in storing, mcn stond nog deels op de ovw.",1
29,Bp,Gk,279,3. Hinder,-2,Energievoorziening (bovenleiding),Grote stroomstoring Bp-Gn.,0
27,Ass,Obpa,54,3. Hinder,4023,Defect materieel,ASS-SGRA: def mat tr 4023 / Spoorweb-id: 997327,1
25,IJbz,Zp,251,3. Hinder,-2,Gebouwen/kunstwerken,ZP: brug sto / Spoorweb-id: 996540,5
12,Asdm,Asdma,94,3. Hinder,-2,STS passage / Bijna Aanrijding,gemeld door mcn 1569,0
25,Asd,Hlm,41,3. Hinder,5449,Defect materieel,ASD: def mat tr 5449 / Spoorweb-id: 996317,1
18,Nvp,Ledn,45,3. Hinder,3363,STS passage / Bijna Aanrijding,suicidaal persoon te voorschoten,0
18,Bmbr,Sdtb,150,3. Hinder,7251,(problemen met) Reizigers,Vervelende reiziger die de trein uitgezet moest worden.,0
22,Ut,Ut,60,3. Hinder,3778,Werkproces Treindienstleider,niet verklaard door late dienst,0
5,Utzl,Utma,6124,1. Zeer veel hinder,3549,Beveiligingsinstallaties,systeemstoring UT,178
20,Htn,Utln,43,3. Hinder,6750,STS passage / Bijna Aanrijding,Blikjesraper,0
20,Ahwa,Otb,1145,2. Veel hinder,7522,Energievoorziening (bovenleiding),zie logging 08:20 spoorweb 994194: bij trein 7522 spanning weggevallen. logging 08:24 : zie ook rvo 81063592.Spoorweb meldt meerdere keren bvl uitval,52
27,Aml,Dv,60,3. Hinder,7076,Samenstellen treinen,geen mat,2
18,Amf,Ama,696,2. Veel hinder,-2,Energievoorziening (bovenleiding),"Retrourverbinding kap defect, waardoor perronkap sp 4 en 5 onder spanning komt bij vertrekkende treinen. Geen treinbewegingen toegestaan",9
27,Ztm,Ztmo,139,3. Hinder,6931,Defect materieel,remproblemen,4
17,Kpn,Zl,60,3. Hinder,8522,Afwezigheid personeel,geen mcn,0
20,Brna,Brn,57,3. Hinder,-2,Spoor of wissels,Sectiebezetting in WSL.OVW 36.4 en 35.8 op de melder,0
19,Hlm,Zvt,2610,1. Zeer veel hinder,15439,Aanpassing DRGL op verzoek van de vervoerder,strand pendel,87
6,Dtzo,Dtcp,384,3. Hinder,5020,Defect materieel,DT: def mat tr 5020 / Spoorweb-id: 988436,10
27,Gs,Lwd,95,3. Hinder,-2,Aanrijding,"2250 meldt klap gevoeld,  conducteur is op onderzoek geweest , niks aangetroffen. Tegentrein 2375 had ook iets gehoord. Te Gs trein gecontroleerd , niks aangetroffen. Volgende trein 6152 heeft nog geschouwd, ook niks aangetroffen.",2
27,Wl,Did,651,3. Hinder,-2,Spoor of wissels,op verzoek aangepast,0
9,Hszha,Hsbda,122,3. Hinder,9121,STS passage / Bijna Aanrijding,jonge ree in het spoor,0
9,ONB,ONB,480,3. Hinder,-2,Energievoorziening (bovenleiding),ZL: stroom sto tr 3872 / Spoorweb-id: 9898253872 gestrand voor sein 4446 Reizigers geevacueerd,0
6,Sgbr,Asd,67,3. Hinder,2122,STS passage / Bijna Aanrijding,p-sein 609,0
11,Ddr,Rtd,60,3. Hinder,5218,Defect materieel,,2
26,Hn,Hn,60,3. Hinder,4838,Defect materieel,,2
20,Whz,Whz,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
29,Hlm,Ass,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
24,Tl,Gdm,60,3. Hinder,6774,Aanpassing DRGL op verzoek van de vervoerder,,2
9,Vlgr,Vl,176,3. Hinder,-1,Defect materieel,,0
21,Rscwa,Ps,54,3. Hinder,-1,Defect materieel,,0
22,Mvtahn,Mvtyn,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
18,Hsrtdt,Asd,210,3. Hinder,911,Defect materieel,,9
16,Mtr,Mt,870,2. Veel hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
11,Vlgr,Vl,624,3. Hinder,-1,Vertraging veroorzaakt door overnemen trein andere Vervoerder,,0
23,Gdm,Tl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
11,Vlgr,Whz,60,3. Hinder,-1,Import vertraging buitenland,,0
6,Shl,Ut,90,3. Hinder,3151,Aanpassing DRGL op verzoek van de vervoerder,,8
16,Kfhn,Rsdg,210,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
10,Odzg,Kfhn,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
2,Smz,Rm,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
16,Zvt,Hlm,2610,1. Zeer veel hinder,25428,Aanpassing DRGL op verzoek van de vervoerder,,87
24,Brech,Bropo,43,3. Hinder,41714,Spoor of wissels,,0
3,Hrl,Hang,240,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
3,Bkh,Gvc,60,3. Hinder,83746,Aanpassing DRGL op verzoek van de vervoerder,,13
28,Vl,Vl,102,3. Hinder,-1,Gereedmaken trein/ geen wagenlijst,,0
28,Mt,Hrl,735,2. Veel hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
10,Wm,Utg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
30,Brvalw,Brvalo,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
27,Mt,Mtr,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
12,Alm,Asd,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
11,Hm,Dn,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
5,Std,Hrl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
11,Kfhn,Lutdsm,150,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
19,Mtr,Rm,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
14,Rtd,Ddr,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
8,Zvt,Hlm,2625,1. Zeer veel hinder,25476,Aanpassing DRGL op verzoek van de vervoerder,,88
24,Hlm,Zvt,60,3. Hinder,5495,Defect materieel,,2
11,Brdv,Brdva,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,1
30,Vl,Vlgr,60,3. Hinder,20079,Aanpassing DRGL op verzoek van de vervoerder,,0
11,Vry,Rm,120,3. Hinder,-1,Defect materieel,,0
26,Utzl,Mas,61,3. Hinder,7460,Defect materieel,,0
